date/time: .11/02/2014.11:45 a.m.
Run 1

time	(V)	V	(V)
0.018250	3.422600E-1	-6.411322E-3	5.957781E-2
0.018313	3.447704E-1	4.616191E-2	6.022476E-2
0.018375	3.372391E-1	7.370027E-2	6.216564E-2
0.018438	3.372391E-1	1.012386E-1	6.216564E-2
0.018500	3.297078E-1	1.362874E-1	6.151868E-2
0.018563	3.221766E-1	1.838537E-1	6.216564E-2
0.018625	3.171557E-1	2.088886E-1	6.345955E-2
0.018688	3.046036E-1	2.289165E-1	6.281260E-2
0.018750	3.020932E-1	2.639653E-1	6.410651E-2
0.018813	2.920515E-1	3.065246E-1	6.345955E-2
0.018875	2.845202E-1	3.265525E-1	6.151868E-2
0.018938	2.669472E-1	3.465804E-1	6.216564E-2
0.019000	2.644368E-1	3.816292E-1	6.151868E-2
0.019063	2.493742E-1	4.291954E-1	6.216564E-2
0.019125	2.318012E-1	4.592373E-1	6.151868E-2
0.019188	2.142283E-1	4.767617E-1	6.022476E-2
0.019250	1.966553E-1	5.043001E-1	6.022476E-2
0.019313	1.790823E-1	5.218245E-1	6.087172E-2
0.019375	1.539780E-1	6.444953E-1	6.087172E-2
0.019438	1.313842E-1	6.495023E-1	6.216564E-2
0.019500	1.113008E-1	6.570128E-1	6.151868E-2
0.019563	8.870698E-2	6.920616E-1	6.216564E-2
0.019625	6.611315E-2	7.296139E-1	6.216564E-2
0.019688	4.854017E-2	7.646627E-1	6.410651E-2
0.019750	2.343591E-2	8.322569E-1	6.345955E-2
0.019813	8.373356E-3	9.724521E-1	6.345955E-2
0.019875	-1.422048E-2	1.237822E+0	6.410651E-2
0.019938	-3.179345E-2	1.723498E+0	6.216564E-2
0.020000	-5.438729E-2	2.169119E+0	6.216564E-2
0.020063	-6.944984E-2	2.131567E+0	6.216564E-2
0.020125	-8.702282E-2	1.675932E+0	6.216564E-2
0.020188	-1.020854E-1	1.247836E+0	6.216564E-2
0.020250	-1.221688E-1	9.724521E-1	6.022476E-2
0.020313	-1.397418E-1	8.072220E-1	6.087172E-2
0.020375	-1.598252E-1	7.045790E-1	6.151868E-2
0.020438	-1.748877E-1	6.169570E-1	5.957781E-2
0.020500	-1.949711E-1	5.443558E-1	6.216564E-2
0.020563	-2.050128E-1	4.967896E-1	6.216564E-2
0.020625	-2.250962E-1	4.617408E-1	6.281260E-2
0.020688	-2.376484E-1	4.191815E-1	6.281260E-2
0.020750	-2.502005E-1	3.716152E-1	6.345955E-2
0.020813	-2.602422E-1	3.465804E-1	6.410651E-2
0.020875	-2.702839E-1	3.365664E-1	6.410651E-2
0.020938	-2.727943E-1	3.190420E-1	6.345955E-2
0.021000	-2.828360E-1	2.864967E-1	6.475347E-2
0.021063	-2.953881E-1	2.664688E-1	6.216564E-2
0.021125	-3.054299E-1	2.614618E-1	6.281260E-2
0.021188	-3.079403E-1	2.414339E-1	6.216564E-2
0.021250	-3.154716E-1	1.988746E-1	6.216564E-2
0.021313	-3.230028E-1	1.513084E-1	6.151868E-2
0.021375	-3.230028E-1	1.262735E-1	6.087172E-2
0.021438	-3.330445E-1	9.122468E-2	6.087172E-2
0.021500	-3.405758E-1	4.115493E-2	6.087172E-2
0.021563	-3.430862E-1	-6.411322E-3	6.151868E-2
0.021625	-3.405758E-1	-2.143224E-2	6.216564E-2
0.021688	-3.380654E-1	-5.147409E-2	6.216564E-2
0.021750	-3.430862E-1	-9.152988E-2	6.216564E-2
0.021813	-3.405758E-1	-1.466066E-1	6.281260E-2
0.021875	-3.330445E-1	-1.641310E-1	6.345955E-2
0.021938	-3.255133E-1	-1.916694E-1	6.345955E-2
0.022000	-3.129611E-1	-2.367321E-1	6.410651E-2
0.022063	-3.004090E-1	-2.792914E-1	6.345955E-2
0.022125	-2.928777E-1	-3.093333E-1	6.281260E-2
0.022188	-2.778152E-1	-3.318646E-1	6.216564E-2
0.022250	-2.627526E-1	-3.669135E-1	6.281260E-2
0.022313	-2.527109E-1	-4.019623E-1	6.216564E-2
0.022375	-2.376484E-1	-4.295006E-1	6.087172E-2
0.022438	-2.200754E-1	-4.470251E-1	6.022476E-2
0.022500	-2.100337E-1	-4.820739E-1	6.022476E-2
0.022563	-1.924607E-1	-5.196262E-1	6.087172E-2
0.022625	-1.773981E-1	-5.496680E-1	6.216564E-2
0.022688	-1.573147E-1	-5.671924E-1	6.281260E-2
0.022750	-1.347209E-1	-5.972343E-1	6.281260E-2
0.022813	-1.221688E-1	-6.422971E-1	6.216564E-2
0.022875	-1.045958E-1	-6.873598E-1	6.216564E-2
0.022938	-7.949154E-2	-7.123947E-1	6.410651E-2
0.023000	-5.940814E-2	-7.624644E-1	6.345955E-2
0.023063	-3.430388E-2	-8.500865E-1	6.410651E-2
0.023125	-1.422048E-2	-9.802678E-1	6.475347E-2
0.023188	8.373356E-3	-1.203078E+0	6.216564E-2
0.023250	2.845676E-2	-1.621161E+0	6.216564E-2
0.023313	5.607144E-2	-2.076795E+0	6.216564E-2
0.023375	7.615485E-2	-2.101830E+0	6.216564E-2
0.023438	9.121740E-2	-1.716293E+0	6.151868E-2
0.023500	1.087904E-1	-1.273176E+0	6.087172E-2
0.023563	1.188321E-1	-1.000296E+0	6.087172E-2
0.023625	1.364051E-1	-8.225481E-1	6.022476E-2
0.023688	1.489572E-1	-6.898633E-1	6.216564E-2
0.023750	1.665302E-1	-5.947308E-1	6.281260E-2
0.023813	1.715510E-1	-5.371506E-1	6.216564E-2
0.023875	1.866136E-1	-4.895843E-1	6.216564E-2
0.023938	1.991657E-1	-4.445216E-1	6.216564E-2
0.024000	2.142283E-1	-4.019623E-1	6.475347E-2
0.024063	2.267804E-1	-3.794309E-1	6.345955E-2
0.024125	2.393325E-1	-3.568995E-1	6.410651E-2
0.024188	2.493742E-1	-3.318646E-1	6.410651E-2
0.024250	2.594159E-1	-3.043263E-1	6.151868E-2
0.024313	2.719681E-1	-2.893054E-1	6.216564E-2
0.024375	2.870306E-1	-2.842984E-1	6.216564E-2
0.024438	2.945619E-1	-2.617670E-1	6.216564E-2
0.024500	3.071140E-1	-2.342287E-1	6.087172E-2
0.024563	3.146453E-1	-2.242147E-1	6.151868E-2
0.024625	3.146453E-1	-2.066903E-1	6.087172E-2
0.024688	3.146453E-1	-1.716415E-1	6.087172E-2
0.024750	3.271974E-1	-1.090543E-1	6.087172E-2
0.024813	3.297078E-1	-7.400547E-2	6.216564E-2
0.024875	3.297078E-1	-4.146014E-2	6.216564E-2
0.024938	3.271974E-1	-1.141830E-2	6.216564E-2
0.025000	3.271974E-1	3.614796E-2	6.216564E-2
0.025063	3.271974E-1	7.119678E-2	6.410651E-2
0.025125	3.221766E-1	9.122468E-2	6.410651E-2
0.025188	3.246870E-1	1.287770E-1	6.345955E-2
0.025250	3.221766E-1	1.663293E-1	6.475347E-2
0.025313	3.121349E-1	2.113921E-1	6.281260E-2
0.025375	3.020932E-1	2.314200E-1	6.216564E-2
0.025438	3.046036E-1	2.539513E-1	6.216564E-2
0.025500	2.870306E-1	3.090281E-1	6.216564E-2
0.025563	2.794993E-1	3.440769E-1	6.087172E-2
0.025625	2.644368E-1	3.691117E-1	6.022476E-2
0.025688	2.493742E-1	3.891396E-1	6.087172E-2
0.025750	2.318012E-1	4.316989E-1	6.087172E-2
0.025813	2.167387E-1	4.817687E-1	6.087172E-2
0.025875	1.991657E-1	4.992931E-1	6.216564E-2
0.025938	1.815927E-1	5.218245E-1	6.216564E-2
0.026000	1.564885E-1	4.517268E-1	6.216564E-2
0.026063	1.389155E-1	5.718942E-1	6.216564E-2
0.026125	1.188321E-1	6.369849E-1	6.410651E-2
0.026188	9.623825E-2	6.570128E-1	6.345955E-2
0.026250	8.368613E-2	6.870546E-1	6.345955E-2
0.026313	6.360272E-2	7.321174E-1	6.345955E-2
0.026375	3.849846E-2	7.846906E-1	6.216564E-2
0.026438	1.590463E-2	8.673057E-1	6.281260E-2
0.026500	5.862930E-3	1.047557E+0	6.216564E-2
0.026563	-1.422048E-2	1.410562E+0	6.345955E-2
0.026625	-3.430388E-2	1.948812E+0	6.087172E-2
0.026688	-5.689771E-2	2.189147E+0	6.022476E-2
0.026750	-7.949154E-2	1.966337E+0	6.087172E-2
0.026813	-9.957495E-2	1.475653E+0	6.087172E-2
0.026875	-1.221688E-1	1.132675E+0	6.022476E-2
0.026938	-1.347209E-1	9.048580E-1	6.216564E-2
