date/time: .11/02/2014.11:45 a.m.
Run 1

time	(V)	V	(V)
0.020938	3.046036E-1	2.764827E-1	6.022476E-2
0.021000	2.895410E-1	2.915036E-1	6.022476E-2
0.021063	2.845202E-1	3.190420E-1	6.087172E-2
0.021125	2.694576E-1	3.641048E-1	6.151868E-2
0.021188	2.569055E-1	4.016571E-1	6.087172E-2
0.021250	2.368221E-1	4.166780E-1	6.216564E-2
0.021313	2.192491E-1	4.467198E-1	6.151868E-2
0.021375	1.991657E-1	4.867756E-1	6.281260E-2
0.021438	1.815927E-1	3.891396E-1	6.216564E-2
0.021500	1.615093E-1	4.717547E-1	6.281260E-2
0.021563	1.439363E-1	5.643837E-1	6.345955E-2
0.021625	1.263634E-1	6.369849E-1	6.410651E-2
0.021688	1.113008E-1	6.670267E-1	6.410651E-2
0.021750	8.619655E-2	6.845511E-1	6.216564E-2
0.021813	6.360272E-2	7.120895E-1	6.216564E-2
0.021875	4.351932E-2	7.721732E-1	6.216564E-2
0.021938	3.096719E-2	8.648022E-1	6.281260E-2
0.022000	1.088378E-2	1.027529E+0	6.216564E-2
0.022063	-1.422048E-2	1.360493E+0	6.087172E-2
0.022125	-3.430388E-2	1.883721E+0	6.022476E-2
0.022188	-5.940814E-2	2.169119E+0	6.022476E-2
0.022250	-7.698112E-2	1.973847E+0	6.087172E-2
0.022313	-9.455410E-2	1.480660E+0	6.216564E-2
0.022375	-1.121271E-1	1.137682E+0	6.216564E-2
0.022438	-1.372313E-1	9.173754E-1	6.281260E-2
0.022500	-1.548043E-1	7.646627E-1	6.151868E-2
0.022563	-1.673564E-1	6.520058E-1	6.410651E-2
0.022625	-1.874398E-1	5.743977E-1	6.410651E-2
0.022688	-1.949711E-1	5.243280E-1	6.410651E-2
0.022750	-2.050128E-1	4.767617E-1	6.410651E-2
0.022813	-2.250962E-1	4.241885E-1	6.345955E-2
0.022875	-2.301171E-1	3.941466E-1	6.216564E-2
0.022938	-2.426692E-1	3.766222E-1	6.151868E-2
0.023000	-2.502005E-1	3.465804E-1	6.216564E-2
0.023063	-2.602422E-1	3.190420E-1	6.216564E-2
0.023125	-2.702839E-1	3.040211E-1	6.087172E-2
0.023188	-2.778152E-1	2.965106E-1	6.151868E-2
0.023250	-2.953881E-1	2.864967E-1	6.151868E-2
0.023313	-3.079403E-1	2.614618E-1	6.087172E-2
0.023375	-3.154716E-1	2.364269E-1	5.957781E-2
0.023438	-3.204924E-1	1.963711E-1	6.281260E-2
0.023500	-3.280237E-1	1.688328E-1	6.216564E-2
0.023563	-3.405758E-1	1.137561E-1	6.216564E-2
0.023625	-3.405758E-1	6.618980E-2	6.281260E-2
0.023688	-3.430862E-1	3.114098E-2	6.345955E-2
0.023750	-3.430862E-1	6.106114E-3	6.410651E-2
0.023813	-3.380654E-1	-2.894271E-2	6.345955E-2
0.023875	-3.380654E-1	-8.652291E-2	6.410651E-2
0.023938	-3.380654E-1	-1.140613E-1	6.216564E-2
0.024000	-3.330445E-1	-1.315857E-1	6.151868E-2
0.024063	-3.230028E-1	-1.741450E-1	6.151868E-2
0.024125	-3.179820E-1	-2.217112E-1	6.216564E-2
0.024188	-3.079403E-1	-2.392356E-1	6.216564E-2
0.024250	-2.928777E-1	-2.592635E-1	6.087172E-2
0.024313	-2.853464E-1	-2.943123E-1	6.022476E-2
0.024375	-2.753047E-1	-3.418786E-1	6.022476E-2
0.024438	-2.652630E-1	-3.644100E-1	6.087172E-2
0.024500	-2.527109E-1	-3.844379E-1	6.216564E-2
0.024563	-2.351379E-1	-4.169832E-1	6.151868E-2
0.024625	-2.250962E-1	-4.595425E-1	6.216564E-2
0.024688	-2.125441E-1	-4.820739E-1	6.151868E-2
0.024750	-1.949711E-1	-5.046053E-1	6.216564E-2
0.024813	-1.773981E-1	-5.321436E-1	6.410651E-2
0.024875	-1.598252E-1	-5.822134E-1	6.345955E-2
0.024938	-1.322105E-1	-6.147587E-1	6.345955E-2
0.025000	-1.121271E-1	-6.397936E-1	6.345955E-2
0.025063	-9.204367E-2	-6.698354E-1	6.216564E-2
0.025125	-7.196027E-2	-7.349261E-1	6.281260E-2
0.025188	-5.187686E-2	-7.900028E-1	6.345955E-2
0.025250	-2.426218E-2	-8.626039E-1	6.216564E-2
0.025313	8.420790E-4	-9.977922E-1	6.281260E-2
0.025375	1.841506E-2	-1.310728E+0	6.087172E-2
0.025438	3.849846E-2	-1.851481E+0	6.022476E-2
0.025500	5.105059E-2	-2.209480E+0	6.022476E-2
0.025563	7.364442E-2	-2.046753E+0	6.087172E-2
0.025625	9.121740E-2	-1.541049E+0	6.151868E-2
0.025688	1.113008E-1	-1.170533E+0	6.216564E-2
0.025750	1.188321E-1	-9.276946E-1	6.216564E-2
0.025813	1.389155E-1	-7.699749E-1	6.216564E-2
0.025875	1.539780E-1	-6.648284E-1	6.410651E-2
0.025938	1.690406E-1	-5.922273E-1	6.345955E-2
